name,prepTime,category,cuisine,mainProtein,healthScore,preferenceScore,defaultPortions,imageUrl,ingredients,tags,notes
Corn flakes chicken nuggets,SHORT,Chicken,American,Chicken,5,7,2,"https://source.unsplash.com/800x600/?chicken,nuggets",chicken breast; corn flakes; egg; flour; paprika; salt; pepper; olive oil,crispy; kid-friendly; quick; oven-or-air-fryer,General assumption: breaded chicken pieces coated in crushed corn flakes.
Corn flake cordon bleu,SHORT,Chicken,French,Chicken,5,7,2,"https://source.unsplash.com/800x600/?chicken,cordon-bleu",chicken breast; ham; cheese; corn flakes; egg; flour; salt; pepper,crispy; stuffed; comfort-food,Assumed chicken cordon bleu with corn-flake crust.
Lomo de cerdo con ajo y perejil,SHORT,Pork,Spanish,Pork,7,7,2,"https://source.unsplash.com/800x600/?pork,loin",pork loin; garlic; parsley; olive oil; lemon; salt; pepper,quick; pan-seared; spanish,Lean pork loin with garlic and parsley.
Pasta primavera,SHORT,Pasta,Italian,Vegetarian,8,7,2,"https://source.unsplash.com/800x600/?pasta,primavera",pasta; zucchini; cherry tomatoes; bell pepper; peas; parmesan; olive oil; garlic,vegetarian; colorful; light,Assumed vegetable-forward pasta.
Tuna or salmon poke bowl,SHORT,Bowl,Hawaiian/Japanese,Fish,9,8,2,"https://source.unsplash.com/800x600/?poke,bowl",sushi rice; tuna or salmon; avocado; cucumber; edamame; soy sauce; sesame; seaweed,fresh; no-cook; fish; bowl,Can use tuna or salmon depending on availability.
Pasta al pesto,SHORT,Pasta,Italian,Vegetarian,6,8,2,"https://source.unsplash.com/800x600/?pesto,pasta",pasta; basil pesto; parmesan; pine nuts; olive oil; garlic,quick; vegetarian; italian,Classic pesto pasta.
Salmon with bread crumbs and parmigiana,SHORT,Fish,Italian,Fish,8,8,2,"https://source.unsplash.com/800x600/?salmon,parmesan",salmon fillets; breadcrumbs; parmesan; parsley; lemon; olive oil; salt; pepper,oven; fish; crispy-top,Assumed baked salmon with breadcrumb parmesan crust.
Tuna tartar,SHORT,Fish,Japanese/Mediterranean,Fish,8,8,2,"https://source.unsplash.com/800x600/?tuna,tartare",fresh tuna; soy sauce; sesame oil; avocado; lime; chives; sesame seeds,fresh; no-cook; fish,Requires sushi-grade tuna.
Hamburguesa con brie y almendras,SHORT,Burger,American/French,Beef,5,8,2,"https://source.unsplash.com/800x600/?burger,brie",burger buns; beef patties; brie; almonds; lettuce; onion; sauce,burger; comfort-food; quick,Assumed beef burger with brie and almonds.
Pasta salsiccia panna pomodoro,SHORT,Pasta,Italian,Pork,5,8,2,"https://source.unsplash.com/800x600/?sausage,pasta",pasta; Italian sausage; cream; tomato sauce; onion; parmesan; olive oil,creamy; italian; sausage,"Rich pasta with sausage, cream, and tomato."
